timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"72858af125f3acdccf1443f51bf156516b4c0422190fea2b806a349445beb0f8 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,15,right,left,neutral,false
"0445fbf9f5da2aa24ab29a4b9ec25f22434158876dc9169fa37b0a3512a121d5 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,16,left,right,neutral,false
"da30a43a53539587bf9fee6980a65e6f36a60e63c69b68dd00a56063afba3b87 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,17,right,left,erotic,false
"efc9e6a8fd6f4c511fbffb754f01f5fdc646c458f1c80981cf62bca0402049a3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,18,left,right,neutral,false
"503d980a8521143be02d0dc87f02a109bfc7271f3560934e5ca4a0533bd94928 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,19,left,right,erotic,false
"b710870b439627a165616d759dd3ba3ecf40575fe943ba68d292939be9827cc3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,20,left,right,erotic,false
"14e47cf9a00a7d52e1b0aa170a4a583fd21fab088bbcb61d9ab13e9abd3fe7c7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,21,right,right,neutral,true
"094d4c8af6f3bee49b4f1952b6eabe958dd1881df8df602df6cd85a40dddfc99 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,22,left,left,erotic,true
"cedd3b9e8588d7c002177b259194f7a6e2e55a2c3f3f5f8091337940af3bcb69 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,23,left,left,erotic,true
"5abb6ffe7a92f9bfc91f28a43061d8ddd59904e8b14ba0501f04caa280c38275 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,24,left,right,erotic,false
