timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"90e055dde07251ee717064f5b645fb2a4c5ef4eb83b29f1e37a0dfe94d2cccc6 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9fe4b1243add4e986e8db7585f9f80ee5615803277e77eb72901af5a68886a72 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0bd40a7e759a6155ba04014845286a8f4be650da049100074bdc7d44d8e79475 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08ce2824becbedcef8b577224ea68a645bcf05b8bd8fddddf0cf63970e988acf Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,NA,NA,NA,NA,NA,NA,NA
"e2337b255ce568e5b9d3ed4d72d74bd82d674a697dc2e487af1878c754305518 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,very untrue,very untrue,NA,NA,NA,NA,NA
"3cecf52a2c0e90d9bacca8a0aa2a47fb31c763fee08b971370dacdda0c1c2049 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",adc2071d-8f7d-4ac8-bf05-f0c32e95d0cc,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300f137c3fc29891eb2f10d7eea7851edf8fc9cb362c51cdb651470071ce44f2 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",adc2071d-8f7d-4ac8-bf05-f0c32e95d0cc,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60939727e6df7fb082b2e1893e4f29dbc359539fc69514f719b062c21f02ae9c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",adc2071d-8f7d-4ac8-bf05-f0c32e95d0cc,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63d461e1fa1f08be9092ea085928bc9d3450560724a9dd1d1e17e1673f54e665 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",adc2071d-8f7d-4ac8-bf05-f0c32e95d0cc,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Male,yes,Probably does not,Probably no,Regularly in the past,NA,NA,NA,NA,NA,NA,NA
"b49fc4b9acf92de30606d3705c7cebf236ccd673c51b996ed4762a69f6554247 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",adc2071d-8f7d-4ac8-bf05-f0c32e95d0cc,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Male,yes,Probably does not,Probably no,Regularly in the past,untrue,between true and untrue,NA,NA,NA,NA,NA
