timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"298fdd562a39201137a69644e4c19f2e764ee13bcee5a7815419c7f194bb80fb Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,17,right,left,erotic,false
"e33c19f29958027f577cd2fc3280959a86fd5039978c7806a4d488d686c5136f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,18,right,right,neutral,true
"6a8f7ff9774740823250396d4ee3651c3756526b85e2cf82c8d295d7fabe4478 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,19,right,left,neutral,false
"54ef95febc1e4694f26242fda939cb656a99161efa2c48ff309d4b984e9ca12c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,20,right,right,erotic,true
"c185b4d52090d0330d5f121d3958892a32687cc29319dddebc758a4cf8c5d325 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,21,right,right,erotic,true
"ec3224c97183cc6067fde7a7b2cb6c8533a79f6c52265446bfb4ba24e6e22b0c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,22,right,left,erotic,false
"03945b832076413ee1a9701ab727359d5e6072fa26b9a4542249d07abee896d1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,23,right,left,neutral,false
"0e3947241d839cad06f8d992217ba9e9e1249d34a046a84b1315222e1dc69802 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,24,right,right,erotic,true
"65bbce0978ea9f17cca00c1f9f7a5226d3ae5668bccd86ab3367f26e32dba143 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,25,right,left,erotic,false
"97016a54a2d7fad9d853a6b00cc9686420b00f73fb1f20c5c346e4226078b925 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,26,right,right,neutral,true
